campaign_id,impressions,clicks,conversions,cost,avg_conversion_value,has_lift_test,lift_test_data,has_geo_experiment,geo_data,lift_test_control_conversions,lift_test_treatment_conversions,lift_test_control_size,lift_test_treatment_size,geo_treatment_pre_conversions,geo_treatment_post_conversions,geo_control_pre_conversions,geo_control_post_conversions,geo_treatment_regions,geo_control_regions,baseline_conversions,true_incremental_conversions,true_iROAS,availability_type
campaign_0069,711104,23130,1522,97209.59,55.5,False,,False,,,,,,,,,,,,576.8808,956.7813,0.5463,neither
campaign_0070,94633,2228,179,4174.45,98.61,False,,True,"{'treatment_pre_conversions': 51.97601266567801, 'treatment_post_conversions': 65.98012939445857, 'control_pre_conversions': 43.821940699682955, 'control_post_conversions': 44.6972582843303, 'treatment_regions': 5, 'control_regions': 10}",,,,,51.97601266567801,65.98012939445857,43.821940699682955,44.6972582843303,5,10,167.6383,14.9599,0.3534,geo_only
campaign_0071,457267,4272,282,16561.29,173.29,False,,False,,,,,,,,,,,,166.8651,105.457,1.1035,neither
campaign_0072,1641045,57178,3833,215418.67,205.18,False,,False,,,,,,,,,,,,1565.9987,2262.7285,2.1552,neither
campaign_0073,574798,6580,506,8213.14,134.16,False,,False,,,,,,,,,,,,396.4288,96.1216,1.5701,neither
campaign_0074,761689,9898,733,12340.74,230.53,False,,True,"{'treatment_pre_conversions': 153.49595567841808, 'treatment_post_conversions': 419.1478678665802, 'control_pre_conversions': 116.49396357139581, 'control_post_conversions': 119.59726849101136, 'treatment_regions': 8, 'control_regions': 8}",,,,,153.49595567841808,419.1478678665802,116.49396357139581,119.59726849101136,8,8,471.1223,264.886,4.9483,geo_only
campaign_0075,635165,16676,1269,55956.79,165.14,False,,True,"{'treatment_pre_conversions': 272.74846434707496, 'treatment_post_conversions': 638.4784297379218, 'control_pre_conversions': 184.6489546958025, 'control_post_conversions': 187.62497571842965, 'treatment_regions': 6, 'control_regions': 7}",,,,,272.74846434707496,638.4784297379218,184.6489546958025,187.62497571842965,6,7,888.6934,379.5766,1.1202,geo_only
campaign_0076,1641547,32396,2807,64158.57,129.13,True,"{'control_conversions': 41, 'treatment_conversions': 76, 'control_size': 45257, 'treatment_size': 45258}",True,"{'treatment_pre_conversions': 196.55988677248268, 'treatment_post_conversions': 1774.703451813666, 'control_pre_conversions': 219.23687551672833, 'control_post_conversions': 229.59730773084834, 'treatment_regions': 9, 'control_regions': 8}",41,76,45257,45258,196.55988677248268,1774.703451813666,219.23687551672833,229.59730773084834,9,8,1070.5731,1711.7945,3.4453,both
campaign_0077,1361136,19294,2549,76823.81,234.02,True,"{'control_conversions': 164, 'treatment_conversions': 230, 'control_size': 121817, 'treatment_size': 121817}",True,"{'treatment_pre_conversions': 426.6560779934685, 'treatment_post_conversions': 1330.0710643711504, 'control_pre_conversions': 298.8715484199232, 'control_post_conversions': 320.3940636666669, 'treatment_regions': 7, 'control_regions': 10}",164,230,121817,121817,426.6560779934685,1330.0710643711504,298.8715484199232,320.3940636666669,7,10,1728.8461,896.9751,2.7324,both
campaign_0078,1672994,18656,2244,21707.96,185.18,True,"{'control_conversions': 62, 'treatment_conversions': 103, 'control_size': 76270, 'treatment_size': 76270}",False,,62,103,76270,76270,,,,,,,1230.1708,1004.2239,8.5668,lift_only
campaign_0079,630159,12199,467,45516.98,68.79,True,"{'control_conversions': 52, 'treatment_conversions': 57, 'control_size': 55422, 'treatment_size': 55422}",False,,52,57,55422,55422,,,,,,,382.0178,61.1773,0.0925,lift_only
campaign_0080,1839133,37615,3285,84770.39,90.04,True,"{'control_conversions': 52, 'treatment_conversions': 118, 'control_size': 66788, 'treatment_size': 66788}",True,"{'treatment_pre_conversions': 392.92681279341997, 'treatment_post_conversions': 2003.3468819325726, 'control_pre_conversions': 302.1762395686252, 'control_post_conversions': 314.81469382036767, 'treatment_regions': 6, 'control_regions': 7}",52,118,66788,66788,392.92681279341997,2003.3468819325726,302.1762395686252,314.81469382036767,6,7,1481.7952,1817.1084,1.9301,both
campaign_0081,509508,14658,812,32355.75,168.37,True,"{'control_conversions': 33, 'treatment_conversions': 61, 'control_size': 45150, 'treatment_size': 45150}",True,"{'treatment_pre_conversions': 118.86263935139318, 'treatment_post_conversions': 486.56388953630824, 'control_pre_conversions': 89.54099352044406, 'control_post_conversions': 82.25475085302875, 'treatment_regions': 4, 'control_regions': 10}",33,61,45150,45150,118.86263935139318,486.56388953630824,89.54099352044406,82.25475085302875,4,10,370.1366,447.5594,2.329,both
campaign_0082,1704725,53732,2688,120383.48,108.92,False,,True,"{'treatment_pre_conversions': 272.983762770731, 'treatment_post_conversions': 1664.90495998579, 'control_pre_conversions': 201.58169367509768, 'control_post_conversions': 204.4984749568779, 'treatment_regions': 6, 'control_regions': 5}",,,,,272.983762770731,1664.90495998579,201.58169367509768,204.4984749568779,6,5,1168.2336,1530.2323,1.3845,geo_only
campaign_0083,965637,27397,2748,31092.92,231.03,False,,False,,,,,,,,,,,,2163.5421,512.8938,3.811,neither
campaign_0084,650431,4252,297,8954.87,227.27,False,,True,"{'treatment_pre_conversions': 67.64835260986645, 'treatment_post_conversions': 164.18549074298681, 'control_pre_conversions': 53.398362953266655, 'control_post_conversions': 57.62273071110952, 'treatment_regions': 6, 'control_regions': 10}",,,,,67.64835260986645,164.18549074298681,53.398362953266655,57.62273071110952,6,10,213.3247,83.3648,2.1158,geo_only
campaign_0085,1697895,18520,1240,46483.17,242.93,True,"{'control_conversions': 92, 'treatment_conversions': 95, 'control_size': 144808, 'treatment_size': 144809}",False,,92,95,144808,144809,,,,,,,1128.9982,84.38,0.441,lift_only
campaign_0086,1118162,20056,855,14786.25,154.2,True,"{'control_conversions': 17, 'treatment_conversions': 37, 'control_size': 48025, 'treatment_size': 48025}",False,,17,37,48025,48025,,,,,,,590.3292,271.6683,2.8331,lift_only
campaign_0087,1229516,13033,1444,11968.33,209.18,True,"{'control_conversions': 51, 'treatment_conversions': 85, 'control_size': 67275, 'treatment_size': 67276}",False,,51,85,67275,67276,,,,,,,871.0343,574.4582,10.0401,lift_only
campaign_0088,417705,4263,327,12524.03,89.78,True,"{'control_conversions': 14, 'treatment_conversions': 22, 'control_size': 20623, 'treatment_size': 20624}",False,,14,22,20623,20624,,,,,,,244.2109,87.6641,0.6284,lift_only
campaign_0089,344240,11818,1197,38004.62,48.48,False,,True,"{'treatment_pre_conversions': 255.46613479617565, 'treatment_post_conversions': 463.03147445389834, 'control_pre_conversions': 198.97739114356764, 'control_post_conversions': 215.828587087644, 'treatment_regions': 7, 'control_regions': 10}",,,,,255.46613479617565,463.03147445389834,198.97739114356764,215.828587087644,7,10,962.2345,216.9715,0.2768,geo_only
campaign_0090,1512017,22497,2905,75874.47,170.83,False,,False,,,,,,,,,,,,1759.3409,1184.0188,2.6658,neither
campaign_0091,1760318,21366,1715,71547.67,206.06,False,,False,,,,,,,,,,,,788.3357,892.5632,2.5706,neither
campaign_0092,642082,15666,1609,53841.85,64.86,True,"{'control_conversions': 30, 'treatment_conversions': 42, 'control_size': 29826, 'treatment_size': 29827}",True,"{'treatment_pre_conversions': 169.65531025805515, 'treatment_post_conversions': 1166.48043431263, 'control_pre_conversions': 175.11381947366542, 'control_post_conversions': 180.61793425191547, 'treatment_regions': 4, 'control_regions': 7}",30,42,29826,29827,169.65531025805515,1166.48043431263,175.11381947366542,180.61793425191547,4,7,701.1133,898.8348,1.0828,both
